price_des,crawl_date,floorplan,car,indoor_feature,bed,property_type,other_feature,agent,property_id,rental_yield,bathroom,median_rent,post_code,street_address,title,outdoor_feature,suburb,url,agency,date_available,price,allowance,bond,description
$490 per week,"[datetime.date(2018, 9, 26)]",Not provided,[2],Floorboards,[4],House,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden","Ashleah Lucey,Ben Gebbett",[424593150],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4077,25 Balgowan Street,"QUALITY, SPACE AND GREAT LOCATION","Secure Parking,Garage Spaces:,2,Balcony",Richlands,https://www.realestate.com.au/property-house-qld-richlands-424593150,Specialists in Property - Bellbird Park,Available Now,$490 per week,Pet Friendly,"$1,960","If you are looking or a quality home with lots of space in a great location, this one is for you. This home features;"
$395 per week,"[datetime.date(2018, 9, 26)]",Not provided,[2],"Toilets:,1",[3],House,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden",Karyl Davies,[424743510],"<span class=""rate""></span>",[1],"<span class=""price""></span>",4074,5 Miena Close,Spacious Lowset,"Carport Spaces:,2",Riverhills,https://www.realestate.com.au/property-house-qld-riverhills-424743510,Ray White - Middle Park,Fri 28-Sep-18,$395 per week,,"$1,580",This lowset home has loads to offer a family looking for somewhere to call home!
$440 per week,"[datetime.date(2018, 9, 26)]",Not provided,[1],"Toilets:,2,Air Conditioning",[2],Unit,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport",Leasing Oxley,[424741470],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4075,209/61 Ellen Street,Modern Large bedroom in Oxley,"Secure Parking,Garage Spaces:,1",Oxley,https://www.realestate.com.au/property-unit-qld-oxley-424741470,Tessa Residential New Farm - NEW FARM,Available Now,$440 per week,,"$1,760","Set on level two of this contemporary block this stylish, modern, fully air conditioned unit has two carpeted double bedrooms with built in robes."
$325 p.w.,"[datetime.date(2018, 9, 26)]",Not provided,[3],"Built-in Wardrobes,Dishwasher,Air Conditioning",[3],House,Property Type: House Garaging / carparking: Open carport,Jess Kindt,[424727482],"<span class=""rate""></span>",[1],"<span class=""price""></span>",4076,24 Kokoda Street,Under Application,"Carport Spaces:,1,Open Car Spaces:,2,Fully Fenced",Darra,https://www.realestate.com.au/property-house-qld-darra-424727482,Harcourts Marketplace - OXLEY,Available Now,$325 p.w.,Pet Friendly,"$1,300","Looking for a great place for the kids and dogs to have room to run around? This lovely home is for you. Boasting timber floors throughout, screens, air-conditioning in master bedroom and shed for additional storage, this neat and tidy home is a great property to secure!"
$400 p.w.,"[datetime.date(2018, 9, 26)]",Not provided,[1],"Ensuite:,1",[2],Apartment,Property Type: Apartment Garaging / carparking: Closed carport,Jess Kindt,[424726918],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4075,5/100 Ellen Street,Under Application,"Remote Garage,Garage Spaces:,1,Fully Fenced",Oxley,https://www.realestate.com.au/property-apartment-qld-oxley-424726918,Harcourts Marketplace - OXLEY,Wed 03-Oct-18,$400 p.w.,Pet Friendly,"$1,600","Be the very first to enjoy this sparkling, brand new apartment located in the heart of the Oxley retail hub. "
$950 per week,"[datetime.date(2018, 9, 26)]",Not provided,[2],,[4],House,,Miles Johnston,[424713046],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4075,18 Dudley Street,STUNNING HOME IN PREMIUM SHERWOOD HIGHSIDE LOCATION,"Garage Spaces:,2",Sherwood,https://www.realestate.com.au/property-house-qld-sherwood-424713046,JOHNSTON DIXON - Brisbane,Available Now,$950 per week,,,"Positioned within Sherwood's prestigious 'high side', along one of the suburb's most desirable and very quiet streets, this immaculate and well-regarded home is currently offered for lease, delivering a strong focus on charm, relaxed entertaining, extensive privacy and modern flair."
$750 Per Week,"[datetime.date(2018, 9, 26)]",https://www.realestate.com.au/floorplan_new.ds?id=424729610&theme=rea.rent,[2],"Living Areas:,1,Toilets:,2,Floorboards,Built-in Wardrobes,Dishwasher,Air Conditioning",[4],House,,"Jonathan Najarro,Jaclyn Lazarou",[424729610],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4075,20 Douglas Street,River Views Inspect Now!,"Secure Parking,Garage Spaces:,2,Deck,Outdoor Entertaining Area",Sherwood,https://www.realestate.com.au/property-house-qld-sherwood-424729610,Place - Graceville,Available Now,$750 Per Week,,"$3,000",The ultra-private home makes the most of its elevated position and serene views through a grand rear deck ideal for waterfront entertaining for your own peace of tranquility.
$400 per week,"[datetime.date(2018, 9, 26)]",Not provided,[1],"Toilets:,1,Air Conditioning",[3],Townhouse,"Built-In Wardrobes, Close to Shops, Garden",West End Rentals,[423346566],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4075,4/90 Jutland Street,Oxley - Near Airconditioned New Townhouse,"Garage Spaces:,1",Oxley,https://www.realestate.com.au/property-townhouse-qld-oxley-423346566,Ray White - West End,Mon 22-Oct-18,$400 per week,,"$1,600","This 3 bedroom, 2.5 bathroom near new townhouse is set in a resort style complex. "
$360 per week,"[datetime.date(2018, 9, 26)]",Not provided,[1],,[2],Unit,,Zoe Wales,[424733854],"<span class=""rate""></span>",[1],"<span class=""price""></span>",4075,1/22 Mayhew Street,SPACIOUS THREE LEVEL TOWNHOUSE,"Garage Spaces:,1",Sherwood,https://www.realestate.com.au/property-unit-qld-sherwood-424733854,Ray White Sherwood/Graceville,Fri 26-Oct-18,$360 per week,,"$1,440","Conveniently located in a quiet street, mid-way between Corinda and Sherwood shopping centres this three level townhouse has a lot to offer. "
$440 / Wk,"[datetime.date(2018, 9, 26)]",Not provided,[2],,[4],House,,Karan Keinert,[420119518],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4077,57 Littleton Road,LOVELY FAMILY HOME,"Garage Spaces:,2",Richlands,https://www.realestate.com.au/property-house-qld-richlands-420119518,LJ Hooker - Algester,Mon 08-Oct-18,$440 / Wk,,"$1,760","Just minutes to park, Richlands train station, local shops and cafes sits this lowset brick home which features:"
$950,"[datetime.date(2018, 9, 26)]",Not provided,[3],,[5],House,,Rentals Indooroopilly,[424738962],"<span class=""rate""></span>",[3],"<span class=""price""></span>",4069,273 Kenmore Road,Grand Design with River Views,"Garage Spaces:,3",Fig Tree Pocket,https://www.realestate.com.au/property-house-qld-fig+tree+pocket-424738962,Ray White Indooroopilly - INDOOROOPILLY,Mon 08-Oct-18,$950,,"$3,800","The grandest of living spaces awaits you at 273 Kenmore Road. With a complete renovation of the kitchen, bathrooms and floors you'll be delighted by the possibilities this property affords."
$490 per week,"[datetime.date(2018, 9, 26)]",https://www.realestate.com.au/floorplan_new.ds?id=424736026&theme=rea.rent,[2],"Ensuite:,1,Living Areas:,1,Toilets:,2,Dishwasher,Air Conditioning",[3],Townhouse,,"Jonathan Najarro,Jaclyn Lazarou",[424736026],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4075,1/95 Strickland Terrace,A Townhouse for Fantastic family living in Graceville,"Secure Parking,Garage Spaces:,2,Balcony,Courtyard,Swimming Pool - Inground",Graceville,https://www.realestate.com.au/property-townhouse-qld-graceville-424736026,Place - Graceville,Sat 10-Nov-18,$490 per week,,"$1,960","Tucked away in a quiet private complex , this two storey home offers generously proportioned living areas."
$350.00 per week,"[datetime.date(2018, 9, 26)]",Not provided,[1],,[3],House,,Melina Reardon,[424737702],"<span class=""rate""></span>",[1],"<span class=""price""></span>",4075,63 Englefield Road,Renovated Cottage - Large Yard,"Garage Spaces:,1",Oxley,https://www.realestate.com.au/property-house-qld-oxley-424737702,First National - Springfield,Fri 12-Oct-18,$350.00 per week,,"$1,400","Fall in love with the charm of this property, offering 2 bedrooms and a small sleep out to front, great space for a study, internally has had some improvements, including renovated kitchen with great storage and lots of bench space and near new carpets and paint throughout, ideal for a couple or small family."
$345 per week,"[datetime.date(2018, 9, 26)]",Not provided,[1],,[2],Unit,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport",Zoe Wales,[424678210],"<span class=""rate""></span>",[1],"<span class=""price""></span>",4075,10/21 Skew Street,PERFECTLY PRICED - MODERN 2 BEDROOM UNIT,"Secure Parking,Garage Spaces:,1,Balcony",Sherwood,https://www.realestate.com.au/property-unit-qld-sherwood-424678210,Ray White Sherwood/Graceville,Fri 26-Oct-18,$345 per week,,"$1,380",This wonderful double brick unit presents low maintenance domains in a fantastic location next to Sherwood Shopping Village and within 100m to Sherwood train station and Sherwood State School. Its practical and light-infused floor plan features a generous living/dining area which adjoins the tidy kitchen. 
$430 per week,"[datetime.date(2018, 9, 26)]",Not provided,[1],"Ensuite:,1,Living Areas:,1,Toilets:,3,Built-in Wardrobes,Dishwasher,Ducted Heating,Air Conditioning",[3],Townhouse,,"Jaclyn Lazarou,Jonathan Najarro",[424745486],"<span class=""rate""></span>",[3],"<span class=""price""></span>",4075,4/546 Oxley Road,Low maintenance townhouse living in an ultra-convenient locale.,"Remote Garage,Secure Parking,Garage Spaces:,1,Fully Fenced",Sherwood,https://www.realestate.com.au/property-townhouse-qld-sherwood-424745486,Place - Graceville,Available Now,$430 per week,,"$1,720",This townhouse is positioned at the back of the complex away from the main road with easy access. Your own private courtyard fully covered for easy entertainment.
$310 per week,"[datetime.date(2018, 9, 26)]",Not provided,[1],,[2],Unit,"Close to Shops, Close to Transport",Rentals Department,[424750538],"<span class=""rate""></span>",[1],"<span class=""price""></span>",4075,1/57 Hood Street,FIRST FLOOR TWO BEDROOM UNIT,"Garage Spaces:,1",Sherwood,https://www.realestate.com.au/property-unit-qld-sherwood-424750538,Poulsen Property - Graceville,Thu 04-Oct-18,$310 per week,,"$1,240","Two bedroom unit on the first floor with balcony, one bathroom, laundry in the large storage room and one lock-up car accommodation. Short walk to shops and transport."
$530 per week,"[datetime.date(2018, 9, 26)]",Not provided,[2],"Toilets:,1,Floorboards,Air Conditioning",[4],House,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden","Melinda Beckinsale,Zoe Wales",[424761106],"<span class=""rate""></span>",[1],"<span class=""price""></span>",4075,44 Chancellor Street,"Fresh Paint, Polished Floors and Fabulous Position.","Secure Parking,Garage Spaces:,2,Balcony",Sherwood,https://www.realestate.com.au/property-house-qld-sherwood-424761106,Ray White Sherwood/Graceville,Thu 27-Sep-18,$530 per week,Pet Friendly,"$2,120","This larger than it looks home offers great 1960's architecture including high ceilings, large casement windows, mezzanine hallway, hardwood polished floors and a welcoming front porch. Neatly presented with fresh modern paint, ceilings fans, screens and newly polished floors throughout."
$395 per week,"[datetime.date(2018, 9, 26)]",Not provided,[2],"Toilets:,1",[3],House,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden","Satvir Nassar,Lauren Matbouly",[418493518],"<span class=""rate""></span>",[1],"<span class=""price""></span>",4074,5 Miena Close,Family Home in Quiet Street with Large Backyard,"Carport Spaces:,2",Riverhills,https://www.realestate.com.au/property-house-qld-riverhills-418493518,Brisbane Real Estate - Indooroopilly,Available Now,$395 per week,Pet Friendly,"$1,580","This neat and tidy family home is located in a quiet street walking distance to schools, daycare and city bus. Short drive to Middle Park shops and Mt Ommaney shopping centre. "
$420 per week,"[datetime.date(2018, 9, 26)]",Not provided,[1],"Living Areas:,1,Built-in Wardrobes",[3],House,,Yvette La Burniy,[421621206],"<span class=""rate""></span>",[1],"<span class=""price""></span>",4075,6 Magazine Street,Cute Little Cottage in High-side Sherwood,"Carport Spaces:,1,Deck",Sherwood,https://www.realestate.com.au/property-house-qld-sherwood-421621206,BOUTIQUE PROPERTY MANAGERS,Available Now,$420 per week,,"$1,680","Located in a leafy quiet street in Sherwood, this 3 bedroom cottage is neat and tidy and ready for someone to call it home."
$250.00,"[datetime.date(2018, 9, 26)]",Not provided,[1],,[2],Unit,,Melina Reardon,[422913938],"<span class=""rate""></span>",[1],"<span class=""price""></span>",4076,6/32 Harcourt Road,Close to Motorway - Tidy 2 Bedroom Unit!,"Garage Spaces:,1",Darra,https://www.realestate.com.au/property-unit-qld-darra-422913938,First National - Springfield,Fri 28-Sep-18,$250.00,,"$1,000","Tidy unit with 2 roomy bedrooms, main with build in wardrobe, a spacious carpeted lounge room with air conditioning and renovated kitchen. Small complex with 10 units. Close to Darra Train Station, Ipswich Motorway and within walking distance to Darra State School."
$390 per week,"[datetime.date(2018, 9, 26)]",https://www.realestate.com.au/floorplan_new.ds?id=422445918&theme=rea.rent,[1],Air Conditioning,[2],Apartment,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport",Rentals Department,[422445918],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4075,301/564 Sherwood Road,MODERN SHERWOOD LIVING,"Secure Parking,Garage Spaces:,1,Balcony",Sherwood,https://www.realestate.com.au/property-apartment-qld-sherwood-422445918,Poulsen Property - Graceville,Tue 23-Oct-18,$390 per week,,"$1,560","South-facing, spacious two-bedroom, two-bathroom apartment offering quiet/private living in Sherwood. This apartment is located on the fourth level of 'Verandah on Sherwood', a recently completed five-level boutique complex in the heart of Sherwood. It is positioned in very close proximity to highly regarded schools, great retail shops and cafes, fabulous restaurants and the convenience of bus/rail transport."
$250 per week,"[datetime.date(2018, 9, 26)]",Not provided,[1],"Toilets:,1",[2],Unit,,Place Annerley Rentals,[405181264],"<span class=""rate""></span>",[1],"<span class=""price""></span>",4075,1/112 White Street,Breezey Apartment By The River,"Carport Spaces:,1",Graceville,https://www.realestate.com.au/property-unit-qld-graceville-405181264,Place - Annerley,Available Now,$250 per week,,"$1,000","Excellent value unit, renovated and excellent location."
"$1,500 per week","[datetime.date(2018, 9, 26)]",Not provided,[6],"Ensuite:,3,Floorboards,Built-in Wardrobes,Dishwasher,Rumpus Room,Air Conditioning",[5],House,,Summer Finlay,[419327482],"<span class=""rate""></span>",[5],"<span class=""price""></span>",4068,47 Sutton Street,Amazing opportunity to secure prime riverfront location,"Remote Garage,Secure Parking,Garage Spaces:,3,Open Car Spaces:,3,Balcony,Deck,Fully Fenced,Swimming Pool - Inground",Chelmer,https://www.realestate.com.au/property-house-qld-chelmer-419327482,Premium Residential,Thu 25-Oct-18,"$1,500 per week",Pet Friendly,"$6,000","An idyllic lifestyle on the Brisbane River, providing direct access to all the river activities with a jetty. "
$850 per week,"[datetime.date(2018, 9, 26)]",https://www.realestate.com.au/floorplan_new.ds?id=424619418&theme=rea.rent,[2],"Workshop,Floorboards,Built-in Wardrobes,Dishwasher,Ducted Heating,Ducted Cooling,Air Conditioning",[4],House,,Property Management Department,[424619418],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4075,20 Randolph Street,Modern splendour in sought after Graceville Corridor,"Remote Garage,Secure Parking,Garage Spaces:,1,Open Car Spaces:,1,Balcony,Deck,Outdoor Entertaining Area,Fully Fenced,Swimming Pool - Inground",Graceville,https://www.realestate.com.au/property-house-qld-graceville-424619418,Belle Property - Sherwood,Thu 04-Oct-18,$850 per week,,"$3,400",This home in the highly sought after Graceville Corridor has all the modern conveniences that one would like.
$530 per week,"[datetime.date(2018, 9, 26)]",https://www.realestate.com.au/floorplan_new.ds?id=423217858&theme=rea.rent,[1],"Toilets:,2,Alarm System,Floorboards,Air Conditioning",[2],Townhouse,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport",Zoe Wales,[423217858],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4075,11/39 Magazine Street,BRAND NEW - ARCHITECTURALLY DESIGNED,"Secure Parking,Garage Spaces:,1,Balcony",Sherwood,https://www.realestate.com.au/property-townhouse-qld-sherwood-423217858,Ray White Sherwood/Graceville,Thu 11-Oct-18,$530 per week,,"$2,120","This brand new architecturally designed Villa is an absolute pleasure to walk into. It is a lifestyle property set among a blue ribbon river precinct area, within meters of the river and Sherwood Arboretum, but still only walking distance to CBD trains, transport, shops, cafes and restaurants."
$420-440pw MOVE IN NOW,"[datetime.date(2018, 9, 26)]",Not provided,[1],"Built-in Wardrobes,Dishwasher,Split-system Air Conditioning",[2],Apartment,,Michelle Pedersen,[424659734],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4075,104/61 Ellen Street,Everyone Gets A Bathroom,"Carport Spaces:,1,Balcony",Oxley,https://www.realestate.com.au/property-apartment-qld-oxley-424659734,My Pad Real Estate.com,Available Now,$420-440pw MOVE IN NOW,,"$1,760",Move in within 24 hours of approval
"$1,195 per week","[datetime.date(2018, 9, 26)]",https://www.realestate.com.au/floorplan_new.ds?id=424641186&theme=rea.rent,[2],"Floorboards,Air Conditioning",[5],House,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden","Melinda Beckinsale,Zoe Wales",[424641186],"<span class=""rate""></span>",[4],"<span class=""price""></span>",4075,16 Oxley Terrace,PRESTIGIOUS RESIDENCE IN HIGHSIDE POSITION,"Secure Parking,Garage Spaces:,2,Balcony,Swimming Pool - Inground",Corinda,https://www.realestate.com.au/property-house-qld-corinda-424641186,Ray White Sherwood/Graceville,Available Now,"$1,195 per week",Pet Friendly,"$4,780",Maximising every inch of its low maintenance block this prestigious home boasts living and entertaining zones to accommodate even the largest of families. 
$320 per week,"[datetime.date(2018, 9, 26)]",Not provided,[1],,[2],Unit,,Zoe Wales,[424779722],"<span class=""rate""></span>",[1],"<span class=""price""></span>",4075,4/225 Oxley Road,LIFESTYLE AND LOCATION,"Garage Spaces:,1",Graceville,https://www.realestate.com.au/property-unit-qld-graceville-424779722,Ray White Sherwood/Graceville,Wed 07-Nov-18,$320 per week,,"$1,280",This super trendy unit is being offered for rent in one of the most tightly held locations in Graceville. 
$315.00 per week,"[datetime.date(2018, 9, 26)]",Not provided,[1],,[3],House,,Melina Reardon,[424670598],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4077,130 Crocus Street,Within walking distance to Glenala Road School - Ensuite Bathroom!,"Garage Spaces:,1",Inala,https://www.realestate.com.au/property-house-qld-inala-424670598,First National - Springfield,Fri 28-Sep-18,$315.00 per week,,"$1,260","Introducing this tidy home, inside and out, offering 3 large bedrooms, main with ensuite bathroom, lovely polished timber flooring throughout and kitchen and bathroom have been renovated. Within walking distance to Glenala Road School or a short drive to local shops, public transport and Inala Civic Center."
$310 per week,"[datetime.date(2018, 9, 26)]",Not provided,[1],Built-in Wardrobes,[2],Unit,,Yvette La Burniy,[424678630],"<span class=""rate""></span>",[1],"<span class=""price""></span>",4075,5/58 Nelson Street,Location and Affordability is the Key!!!,"Secure Parking,Garage Spaces:,1",Corinda,https://www.realestate.com.au/property-unit-qld-corinda-424678630,BOUTIQUE PROPERTY MANAGERS,Available Now,$310 per week,,"$1,240",This neatly presented unit is in the heart of it all! 
$350 per week,"[datetime.date(2018, 9, 26)]",https://www.realestate.com.au/floorplan_new.ds?id=424754170&theme=rea.rent,[1],"Toilets:,3,Air Conditioning",[3],Townhouse,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport","Lyndal Morrison,Angel Plummer",[424754170],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4077,31/35 Brentford Road,Beauty In Brentford! - 1 Week Free Rent**,"Garage Spaces:,1,Swimming Pool - Inground",Richlands,https://www.realestate.com.au/property-townhouse-qld-richlands-424754170,Ray White Forest Lake,Wed 17-Oct-18,$350 per week,,"$1,400",*** HOW TO INSPECT THIS HOME DETAILS BELOW ***
$625 per week,"[datetime.date(2018, 9, 26)]",Not provided,[2],"Floorboards,Air Conditioning",[4],House,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden",Zoe Wales,[419328478],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4075,43 Chancellor Street,FAMILY ENTERTAINERS DELIGHT,"Secure Parking,Garage Spaces:,2,Balcony",Sherwood,https://www.realestate.com.au/property-house-qld-sherwood-419328478,Ray White Sherwood/Graceville,Fri 02-Nov-18,$625 per week,,"$2,500","This beautiful Queenslander is opening its doors to a new family! Double french doors at the front, following the breeze to the back entertainers deck through the open plan kitchen, living and dining. Practical space and layout is what makes this the perfect family home. This is a must inspect to believe it! The hardest decision you will have to make is having your morning coffee on the front porch, or the back deck."
