car,bed,suburb,date_available,indoor_feature,title,bond,post_code,price_des,description,allowance,url,rental_yield,other_feature,property_id,price,outdoor_feature,property_type,crawl_date,floorplan,median_rent,street_address,bathroom,agent,agency 
[2],[3],Oxley,Fri 19-Oct-18,"Toilets:,3,Air Conditioning",Beautiful 3 Bedroom Townhouse,"$1,720",4075,$430 per week,"Tenants will enjoy an ultra-modern kitchen with stainless appliances, separate lounge and meals area.  The generously covered outdoor tiled patio and private courtyard is ideal for entertaining family and friends.  The ground floor is fully air-conditioned whilst the extra toilet and laundry downstairs provide additional convenience.  The internal polished timber stairs leading to the second level open onto a spacious 3 bedrooms, main with en-suite, 2 other bedrooms and stylish main bathroom.  All bedrooms have built in cupboards and the elevated position allows for cool breezes.",,https://www.realestate.com.au/property-townhouse-qld-oxley-424757650,"<span class=""rate""></span>","Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden",[424757650],430,"Secure Parking,Garage Spaces:,1,Open Car Spaces:,1,Balcony,Swimming Pool - Inground",Townhouse,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",14/90 Jutland Street,[2],Colleen Miles,RAAS Group
[2],[3],Oxley,Fri 26-Oct-18,"Gym,Air Conditioning",Air-conditioned beautiful townhome,"$1,580",4075,Application in progress,"This neatly presented townhouse is in perfect location, happy neigborhood, safe community, a great place to call home.",,https://www.realestate.com.au/property-townhouse-qld-oxley-424762086,"<span class=""rate""></span>",,[424762086],,"Garage Spaces:,2,Balcony",Townhouse,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",130 Jutland Street,[2],Wistaria Mo,THEONSITEMANAGER - Hendra
[2],[5],Sinnamon Park,Available Now,"Ensuite:,1",NEW WINDERMERE HOME!,,4073,$900 Weekly,"Tired of paying high rent for a tired old house? Wake up in this immaculate new build in Windermere Estate; offering a beautiful combination of modern living, convenience and lifestyle. Within a stone's throw of an abundance of amenities including but not limited to Shopping Centres, public transport, bike tracks, amazing parklands, restaurants and much much more.",,https://www.realestate.com.au/property-house-qld-sinnamon+park-422329970,"<span class=""rate""></span>",,[422329970],900,"Remote Garage,Garage Spaces:,2",House,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",15 STAVELEY CLOSE,[3],Rentals - Centenary Real Estate,Centenary Real Estate - Jindalee
[1],[2],Riverhills,Tue 20-Nov-18,,SNUG BUT STYLISH,"$1,320",4074,$330 per week,Inspect now and secure this neat home located in the new Riverhills Estate. ,,https://www.realestate.com.au/property-unit-qld-riverhills-424689874,"<span class=""rate""></span>",,[424689874],330,"Garage Spaces:,1",Unit,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",46B Sawmill Circuit,[2],Guardian Wacol,Guardian Property & Asset Mgmt - Brisbane
[4],[4],Jindalee,Tue 16-Oct-18,"Ensuite:,1,Study",Refreshed family home in convenient Jindalee,"$1,900",4074,$475 Per Week,This great family home has been recently refreshed with new paint and carpets. With good separation of living areas this home is set up for family living. The fully fenced yard is perfect for the kids and or pets to explore and enjoy.,Pet Friendly,https://www.realestate.com.au/property-house-qld-jindalee-420499206,"<span class=""rate""></span>",,[420499206],475,"Garage Spaces:,2,Open Car Spaces:,2",House,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",33 Minyara Street,[3],Innovation Rentals,Innovation Real Estate - Jamboree Heights
[1],[3],Richlands,Fri 28-Sep-18,"Toilets:,3,Air Conditioning",MODERN 3 BEDROOM TOWNHOUSE LOCATED IN RICHLANDS,"$1,400",4077,$350 per week,This beautiful Near new townhouse has great features including:,,https://www.realestate.com.au/property-townhouse-qld-richlands-424691226,"<span class=""rate""></span>","Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden",[424691226],350,"Secure Parking,Garage Spaces:,1,Swimming Pool - Inground",Townhouse,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",83 OLD PROGRESS ROAD,[3],Michael Cai,Raine & Horne - Onsite Sales
[1],[3],Richlands,Tue 09-Oct-18,"Ensuite:,1,Built-in Wardrobes,Dishwasher",3 BEDROOM TOWNHOUSE ** NRAS PROPERTY **,"$1,108",4077,$277 per week,***********************************************************************************,,https://www.realestate.com.au/property-townhouse-qld-richlands-424690878,"<span class=""rate""></span>",,[424690878],277,"Remote Garage,Garage Spaces:,1,Fully Fenced",Townhouse,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",161/70-90 Littleton Rd,[2],NAHC Browns Plains Office,National Affordable Housing Consortium Ltd - South Brisbane
[1],[3],Graceville,Wed 10-Oct-18,"Reverse-cycle Air Conditioning,Air Conditioning",Easy care lowset home and yard,"$2,100",4075,$525 per week,This lowset home is well positioned within a short walk to Graceville train station so leave the car at home and use public transport as buses also nearby.,,https://www.realestate.com.au/property-house-qld-graceville-424694042,"<span class=""rate""></span>",,[424694042],525,"Carport Spaces:,1",House,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",39 Dan Street,[2],Samantha Whitton,LITTLE Real Estate - FOREST LAKE
[2],[3],Inala,Mon 08-Oct-18,,Walk to Shops,"$1,260",4077,$315 pw,"This home is walking distance to shops, bus and schools and features",,https://www.realestate.com.au/property-house-qld-inala-424686294,"<span class=""rate""></span>",,[424686294],315,"Garage Spaces:,2",House,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",62 Rosella Street,[1],Property Management Team,Professionals P J Torbey Real Estate -
[2],[4],Darra,Available Now,"Living Areas:,1",Ideal Family Home!,,4076,$395 pw,"This property is walking distance to shops and parks, close to local schools and public transport, with four decent sized bedrooms, newly renovated kitchen and bathroom , large living and dinning area, with everything at your fingertips this home is ideal for any family! ",,https://www.realestate.com.au/property-house-qld-darra-424691722,"<span class=""rate""></span>",,[424691722],395,"Carport Spaces:,2",House,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",16 Bradford Street,[1],Property Management Team,Professionals P J Torbey Real Estate -
[2],[4],Richlands,Available Now,"Built-in Wardrobes,Dishwasher,Split-system Air Conditioning",LARGE MODERN HOME IN FABULOUS LOCATION!!!,"$1,720",4077,$430 per week,This freshly painted modern home has become available to a lucky tenant.,,https://www.realestate.com.au/property-house-qld-richlands-424700594,"<span class=""rate""></span>",,[424700594],430,"Remote Garage,Garage Spaces:,2,Outdoor Entertaining Area,Fully Fenced",House,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",1 Zerlotti Cl,[2],Yvette Shaw,Twenty Four Seven Realty - -
[1],[3],Corinda,Available Now,"Study,Built-in Wardrobes,Dishwasher,Air Conditioning",PERFECT LOCATION! LUXURY TOWNHOME!,"$1,960",4075,$490 per week,"Managed Property is SO excited to present to you this sublime 3 bedroom townhome, located just minutes away from Coles, local shops, restaurants and Corinda train station!",Pet Friendly,https://www.realestate.com.au/property-townhouse-qld-corinda-424697294,"<span class=""rate""></span>",,[424697294],490,"Secure Parking,Garage Spaces:,1,Balcony,Deck,Courtyard,Outdoor Entertaining Area,Fully Fenced",Townhouse,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",1/9 Railway Terrace,[2],"Jasmin Bradley,Breeanna Fechner",Managed Property
[1],[3],Inala,Available Now,Air Conditioning,BIG HOME WITH A LOT MORE THAN OTHERS,"$1,300",4077,$325 PER WEEK!!,"This 3 bedroom home is set on a large block, with a large double car shed, plus additional carport and garden shed. ",,https://www.realestate.com.au/property-house-qld-inala-424086190,"<span class=""rate""></span>","Close to Schools, Close to Shops, Close to Transport, Garden",[424086190],325,"Garage Spaces:,1",House,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",75 Poinciana Street,[1],Leasing Oxley,Tessa Residential - NINGI
[1],[2],Sherwood,Available Now,Air Conditioning,Modern Unit in great location,"$1,800",4075,$450 per week,This two bedroom unit in Sherwood is available and has a open modern feeling to it. The property has the following features:,,https://www.realestate.com.au/property-house-qld-sherwood-424702370,"<span class=""rate""></span>",Built-In Wardrobes,[424702370],450,"Secure Parking,Garage Spaces:,1,Balcony",House,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",2/17 Mayhew Street,[2],Leasing Oxley,Tessa Residential - NINGI
[2],[4],Riverhills,Mon 01-Oct-18,"Ensuite:,1,Toilets:,3,Built-in Wardrobes,Dishwasher,Rumpus Room,Ducted Cooling",Near New Family Home,"$2,480",4074,$620 per week,This near new home is packed full of inclusions for your family.,Pet Friendly,https://www.realestate.com.au/property-house-qld-riverhills-420183210,"<span class=""rate""></span>",,[420183210],620,"Remote Garage,Garage Spaces:,2,Outdoor Entertaining Area,Fully Fenced",House,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",59 Sawmill Circuit,[2],Peter Kilby,Maison Real Estate -  Mount Ommaney
[2],[3],Oxley,Available Now,,PRIVATE UNIQUE & MODERN,"$1,600",4075,$400 per week,This well appointed 3 bedroom home will tick all the boxes. ,,https://www.realestate.com.au/property-duplex+semi+detached-qld-oxley-424711854,"<span class=""rate""></span>",,[424711854],400,"Garage Spaces:,2",Duplex/Semi-Detached,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",1/13 Pamphlett Street,[2],Guardian Wacol,Guardian Property & Asset Mgmt - Brisbane
[2],[2],Sherwood,Available Now,"Toilets:,2,Intercom,Air Conditioning",Open plan living opening out to a generous balcony that overlooks the beautiful parkland,"$18,001",4075,$450 per week,Want to be a close commute to the CBD and then come home to a peaceful haven and have a swim in a 20 metre lap pool?,,https://www.realestate.com.au/property-unit-qld-sherwood-424724338,"<span class=""rate""></span>","Close to Schools, Close to Shops, Close to Transport, Lift Installed, Roller Door Access",[424724338],450,"Garage Spaces:,2",Unit,"[datetime.date(2018, 9, 26)]",https://www.realestate.com.au/floorplan_new.ds?id=424724338&theme=rea.rent,"<span class=""price""></span>",239/20 Egmont,[2],"Rent Central Sherwood,Ann Marie Lindeblad",RESTT Property Sales and Rentals - LOGAN CENTRAL
[1],[4],Sumner,Available Now,"Toilets:,1,Air Conditioning",4 BEDROOM HOME IN QUIET SUMNER POCKET,"$1,560",4074,$390 per week,"Ray White Centenary proudly offers for rent this lowset brick home located at the end of a cul-de-sac in sought after, quiet pocket of Sumner. With new flooring, lock up garage, air conditioning, fully fenced backyard, this home is of great value. ",Pet Friendly,https://www.realestate.com.au/property-house-qld-sumner-424705906,"<span class=""rate""></span>","Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport",[424705906],390,"Secure Parking,Garage Spaces:,1",House,"[datetime.date(2018, 9, 26)]",https://www.realestate.com.au/floorplan_new.ds?id=424705906&theme=rea.rent,"<span class=""price""></span>",17 Emily Place,[1],Debbie Swales,Ray White - Centenary
[1],[3],Richlands,Fri 02-Nov-18,"Toilets:,3,Air Conditioning",Modern townhouse in great location,"$1,440",4077,$360 per week,Welcome to RICHLANDS GROVE,Pet Friendly,https://www.realestate.com.au/property-townhouse-qld-richlands-424727522,"<span class=""rate""></span>","Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden",[424727522],360,"Secure Parking,Garage Spaces:,1",Townhouse,"[datetime.date(2018, 9, 26)]",https://www.realestate.com.au/three_d_tour.ds?id=424727522&theme=rea.rent,"<span class=""price""></span>",41/125 Orchard Road,[2],Cathy Slater,Raine & Horne - Onsite Sales
[2],[3],Sinnamon Park,Thu 18-Oct-18,,Modern family home in Sinnamon Park,"$1,840",4073,$460 Per Week,Modern family home in Sinnamon Park,Pet Friendly,https://www.realestate.com.au/property-house-qld-sinnamon+park-423630854,"<span class=""rate""></span>",,[423630854],460,"Garage Spaces:,2",House,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",9 Olympic Pl,[2],Innovation Rentals,Innovation Real Estate - Jamboree Heights
[1],[2],Sherwood,Available Now,"Intercom,Air Conditioning",New 2 bedroom apartment,"$1,580",4075,$395 per week,"Excellent central Sherwood location. Easy walk to train station, schools, kindergarten, churches, shops and cafes. ",Pet Friendly,https://www.realestate.com.au/property-unit-qld-sherwood-424733498,"<span class=""rate""></span>",,[424733498],395,"Garage Spaces:,1,Balcony",Unit,"[datetime.date(2018, 9, 26)]",https://www.realestate.com.au/floorplan_new.ds?id=424733498&theme=rea.rent,"<span class=""price""></span>",445 Oxley Road,[2],Damian Bourke,THEONSITEMANAGER - Hendra
[2],[3],Graceville,Thu 27-Sep-18,"Floorboards,Broadband Internet Available,Built-in Wardrobes,Dishwasher,Air Conditioning",GRACEVILLE,"$1,840",4075,$460 per week,"- Sorry, no pets",,https://www.realestate.com.au/property-townhouse-qld-graceville-424672142,"<span class=""rate""></span>",0,[424672142],460,"Remote Garage,Secure Parking,Garage Spaces:,2,Deck,Courtyard,Fully Fenced,Swimming Pool - Inground",Townhouse,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",8/38 Baronsfield Street,[2],Cartwright Property Group,Cartwright Property Group - GRACEVILLE
[2],[4],Sinnamon Park,Fri 28-Sep-18,,"Beautiful family home, spacious and private","$2,400",4073,$600 Weekly UNFURNISHED,"This solid, charming brick home is conveniently located in the heart of Sinnamon Park, tucked behind lush gardens and away from the traffics, it provides your family with extra safety and privacy, and much more:",,https://www.realestate.com.au/property-house-qld-sinnamon+park-424734210,"<span class=""rate""></span>",,[424734210],600,"Garage Spaces:,2",House,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",39 Cityview Road,[2],Daisy Dong,Australian Property Management Alliance - Mango Hill
[2],[3],Riverhills,Sat 29-Sep-18,"Toilets:,2,Built-in Wardrobes,Rumpus Room","Spacious, Fresh and Convenient!","$1,640",4074,$410 per week,"With plenty of space and a handy location, this is convenient family living in the Centenary Suburbs.",,https://www.realestate.com.au/property-house-qld-riverhills-416175813,"<span class=""rate""></span>",Ceiling Fans,[416175813],410,"Secure Parking,Garage Spaces:,2,Deck,Outdoor Entertaining Area,Fully Fenced",House,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",337 Horizon Drive,[2],Peter Kilby,Maison Real Estate -  Mount Ommaney
[3],[3],Jamboree Heights,Available Now,,Walking Distance to Mount Ommaney Shopping Centre,"$1,560",4074,$390 p.w.,Renovated internally upstairs,,https://www.realestate.com.au/property-house-qld-jamboree+heights-424679070,"<span class=""rate""></span>",Property Type: House,[424679070],390,"Garage Spaces:,1,Open Car Spaces:,2",House,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",9 Sirocco Street,[1],Harcourts South West BDM,Harcourts Centenary Suburbs - Mt Ommaney
[2],[3],Inala,Mon 29-Oct-18,"Ensuite:,1","Great Views, Great Location","$1,200",4077,$300 per week,"Come see this charming 3 bedroom house, occupying a prime position in a sought after residential area. ",,https://www.realestate.com.au/property-house-qld-inala-420359710,"<span class=""rate""></span>",,[420359710],300,"Garage Spaces:,2",House,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",3 Cypress Street,[2],Denny Dao,LITTLE Real Estate - FOREST LAKE
[2],[4],Jindalee,Sun 14-Oct-18,,Close to Everything. Large. Renovated. Air Con.,,4074,$450 per week,"Great Home, in a lovely part of Jindalee. Close to shops, transport, schools and daycare.",,https://www.realestate.com.au/property-house-qld-jindalee-424679346,"<span class=""rate""></span>",,[424679346],450,"Garage Spaces:,2",House,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",104 Burrendah Rd,[1],Contact Office,RealPrivate.com.au - HAWTHORN
[1],[4],Inala,Available Now,,Lovely home with security and air conditioning,"$1,200",4077,$300 p/w,"Recently renovated 4 bedroom timber home features 3 built-ins - 2 with mirror doors, modern kitchen with dining area, air conditioned lounge room, polished floors throughout, security screens and doors, large bathroom with seperate toilet, internal laundry, large covered rear entertaining area, garden shed, fully fenced block with double gates at front, carport.",,https://www.realestate.com.au/property-house-qld-inala-404414752,"<span class=""rate""></span>",,[404414752],300,"Carport Spaces:,1",House,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",15 Bellatrix Street,[1],Property Management Team,Coulson Real Estate - Inala
[1],[1],Sherwood,Wed 03-Oct-18,"Alarm System,Air Conditioning",Luxury Single Bedroom Apartment with Spacious Balcony,"$1,440",4075,$360 per week,Tamanna@Sherwood is a boutique luxury apartment building within walking distance of all amenities in the popular suburb of Sherwood.,,https://www.realestate.com.au/property-apartment-qld-sherwood-421952710,"<span class=""rate""></span>",,[421952710],360,"Garage Spaces:,1",Apartment,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",32/21 Mayhew Street,[1],Blanche Cheung,RAAS Group
[3],[3],Inala,Available Now,Air Conditioning,WALK TO SHOPS AND TAFE,"$1,400",4077,350 p/w,This lovely home is situated in an ideal location.,,https://www.realestate.com.au/property-house-qld-inala-419194702,"<span class=""rate""></span>","balcony/patio/terrace,bath,modern bathroom,modern kitchen,polished timber floors,close to parklands,",[419194702],350,"Secure Parking,Garage Spaces:,1,Open Car Spaces:,2,Deck,Fully Fenced",House,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",17 Osprey Street,[1],Property Management Team,Coulson Real Estate - Inala
[1],[2],Corinda,Fri 12-Oct-18,"Broadband Internet Available,Built-in Wardrobes,Air Conditioning",2 WEEKS FREE RENT TO APPROVED APPLICANT,"$1,400",4075,$350 per week,- 2 WEEKS FREE RENT TO APPROVED APPLICANT,,https://www.realestate.com.au/property-unit-qld-corinda-424685314,"<span class=""rate""></span>",0,[424685314],350,"Secure Parking,Garage Spaces:,1",Unit,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",3/34 Hassall Street,[1],Cartwright Property Group,Cartwright Property Group - GRACEVILLE
[4],[4],Darra,Available Now,"Toilets:,1,Air Conditioning","Large Families, Small Families this home is perfect for yours!","$1,320",4076,$330 per week,"This big home is hidden towards the back of Darra and is within walking distance of local schools, shops and the train station. ",,https://www.realestate.com.au/property-house-qld-darra-420538778,"<span class=""rate""></span>","Close to Schools, Close to Shops, Close to Transport, Garden",[420538778],330,"Secure Parking,Garage Spaces:,2,Open Car Spaces:,2",House,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",77 Harrington St,[1],Michelle Nguyen,Rightway Realty - Darra
[2],[3],Jamboree Heights,Tue 23-Oct-18,,FAMILY ENTERTAINING HOME!,,4074,$485 weekly,This home has a great family feel as soon as you walk in - its a place to come home too - to entertain and relax!,,https://www.realestate.com.au/property-house-qld-jamboree+heights-413502155,"<span class=""rate""></span>",,[413502155],485,"Garage Spaces:,2",House,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",,[2],Rentals - Centenary Real Estate,Centenary Real Estate - Jindalee
[1],[3],Inala,Available Now,Air Conditioning,WALK TO INALA PLAZA AND TAFE,,4077,$320.00 per week,This neat home has many features including -,,https://www.realestate.com.au/property-house-qld-inala-419342886,"<span class=""rate""></span>","close to parklands,close to schools,close to shops,close to transport",[419342886],"320,00","Carport Spaces:,1,Shed,Fully Fenced",House,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",8 Lapwing Street,[1],Property Management Team,Coulson Real Estate - Inala
[2],[3],Sherwood,Fri 05-Oct-18,"Floorboards,Broadband Internet Available,Dishwasher,Air Conditioning",3 Bedroom house in Sherwood!,"$1,760",4075,$440 per week,"- Sorry, no pets",,https://www.realestate.com.au/property-house-qld-sherwood-424644258,"<span class=""rate""></span>",0,[424644258],440,"Carport Spaces:,2",House,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",8 Bute Street,[1],Cartwright Property Group,Cartwright Property Group - GRACEVILLE
[2],[3],Darra,Available Now,Floorboards,FANTASTIC LOCATION WITH GREAT SIZED YARD,"$1,440",4076,$360 p/w,"Brilliant location just across the street from Darra state schools. Train stations, shops and eateries are just around the corner within 500m walk. ",,https://www.realestate.com.au/property-house-qld-darra-424645774,"<span class=""rate""></span>","Close to Schools, Close to Shops, Close to Transport, Garden, Formal Lounge",[424645774],360,"Secure Parking,Carport Spaces:,1,Garage Spaces:,1,Balcony",House,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",10 Winslow St,[1],Jo Nguyen,Rightway Realty - Darra
[1],[3],Richlands,Available Now,,AIR CONDITIONED 3 BR TOWNHOUSE,"$1,380",4077,$345 per week,This beautifully appointed townhouse in a nicely established complex has everything you wish for comfort. Reverse cycle air conditioning throughout the living areas; features include stainless steel appliances including dishwasher; en suite and walk-in robe to master bedroom; 2nd spacious bathroom with bath; three toilets; ceiling fans in each of the three bedrooms and insulated ceilings.,,https://www.realestate.com.au/property-house-qld-richlands-424485326,"<span class=""rate""></span>",,[424485326],345,"Garage Spaces:,1",House,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",19 Kathleen Street,[2],Ruiqi Guo,nextrealty.com.au
[1],[3],Richlands,Available Now,"Toilets:,3,Alarm System",AIR CONDITIONED 3 BR TOWNHOUSE,"$1,360",4077,$340 per week,AIR CONDITIONED 3 BR TOWNHOUSE,,https://www.realestate.com.au/property-house-qld-richlands-424485454,"<span class=""rate""></span>",,[424485454],340,"Remote Garage,Garage Spaces:,1,Fully Fenced",House,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",20 Kathleen Street,[2],Ruiqi Guo,nextrealty.com.au
[1],[3],Jindalee,Available Now,,GREAT LOCATION!,"$1,600",4074,$400 Per Week,This 3 bedroom lowset home is in a great position.  Situated very close to Centenary High School in the very popular suburb of Jindalee this home has what you need to live in comfort.,Pet Friendly,https://www.realestate.com.au/property-house-qld-jindalee-415355935,"<span class=""rate""></span>",Fenced,[415355935],400,"Carport Spaces:,1,Fully Fenced",House,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",94 Yallambee Road,[1],Innovation Rentals,Innovation Real Estate - Jamboree Heights
[2],[6],Chelmer,Available Now,"Alarm System,Floorboards,Broadband Internet Available,Built-in Wardrobes,Pay TV Access,Dishwasher,Ducted Heating,Ducted Cooling,Air Conditioning","6 BEDROOM, RENOVATED FAMILY HOME WITH POOL","$4,500",4068,"$1,250 per week","Situated in one of Chelmer’s most prestigious, quiet and tree-lined streets on the river (high side Chelmer), this 6 bedroom home is the whole package.",Pet Friendly,https://www.realestate.com.au/property-house-qld-chelmer-424653486,"<span class=""rate""></span>",,[424653486],"1,250","Secure Parking,Garage Spaces:,2,Balcony,Deck,Courtyard,Shed,Fully Fenced,Swimming Pool - Inground",House,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",46 SUTTON STREET,[2],Shirley Raven,Humanics
[2],[4],Riverhills,Available Now,"Built-in Wardrobes,Dishwasher,Air Conditioning",1 Week Rent Free - Corner Block Oasis,"$1,960",4074,$490 p.w.,"Situated in a quite street on a 635sqm corner block is this low set 4-bedroom home. Featuring a fully fenced yard, double garage and within in walking distance to local schools and public transport.",,https://www.realestate.com.au/property-house-qld-riverhills-424599682,"<span class=""rate""></span>",Property Type: House Garaging / carparking: Double lock-up Property Features: No Pets Allowed,[424599682],490,"Garage Spaces:,2,Fully Fenced",House,"[datetime.date(2018, 9, 26)]",https://www.realestate.com.au/floorplan_new.ds?id=424599682&theme=rea.rent,"<span class=""price""></span>",2 Lyndora Close,[2],Mel Rodrigo,Harcourts Centenary Suburbs - Mt Ommaney
[1],[3],Richlands,Mon 15-Oct-18,"Floorboards,Broadband Internet Available,Dishwasher",Inspired Master-Planned Living,,4077,$360 per week,"Azure Living is pleased to present to you The Grove Edition, Richlands. A master-planned community of 3 and 4 bedroom terraces featuring an outdoor pool and entertainment area. Surrounded by subtropical landscaping and nestled within the growing Western suburb of Richlands. Spanning over two levels, this contemporary terrace home is an impeccable fusion of space and convenience.",,https://www.realestate.com.au/property-townhouse-qld-richlands-424660970,"<span class=""rate""></span>",,[424660970],360,"Garage Spaces:,1,Courtyard,Outdoor Entertaining Area,Swimming Pool - Inground",Townhouse,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",107/7 Giosam Street,[2],Fem Douglas,Azure Living - QLD
[4],[4],Sumner,Sat 13-Oct-18,,Lovely home with country views,"$2,040",4074,$510 per week,PROPERTY ID: 37126,,https://www.realestate.com.au/property-house-qld-sumner-424631178,"<span class=""rate""></span>",,[424631178],510,"Carport Spaces:,4",House,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",16 Copmanhurst Place,[2],,Rentbetter - Bondi
[2],[3],Riverhills,Fri 05-Oct-18,"Toilets:,3,Air Conditioning","RESORT style living in a quiet, well maintained & secure townhouse complex.","$1,620",4074,$405 per week,"This cosy townhouse is conveniently close to all amenities of life. It is walking distance to school, bus stops, restaurants, bakery, tavern and shops. ",,https://www.realestate.com.au/property-townhouse-qld-riverhills-424656806,"<span class=""rate""></span>","Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden, Onsite Manager",[424656806],405,"Secure Parking,Carport Spaces:,1,Garage Spaces:,1,Balcony,Swimming Pool - Inground",Townhouse,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",34/250 Sumners Road,[2],Murali Nayar,Raine & Horne - Onsite Sales
[2],[4],Jamboree Heights,Sat 13-Oct-18,"Toilets:,2,Floorboards,Built-in Wardrobes,Dishwasher,Rumpus Room",Stylish and Convenient,"$1,800",4074,$450 per week,Family home with a bit of flair - this property is conveniently located in an elevated position handy to all the local facilities.,,https://www.realestate.com.au/property-house-qld-jamboree+heights-424620386,"<span class=""rate""></span>",Ceiling Fans,[424620386],450,"Carport Spaces:,2,Balcony,Deck,Outdoor Entertaining Area",House,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",12 Troop Street,[1],Fiona Hayward,Maison Real Estate -  Mount Ommaney
[2],[3],Richlands,Thu 11-Oct-18,"Toilets:,3,Air Conditioning","DOUBLE GARAGE unit,  NBN & Foxtel","$1,520",4077,$380 per week,"This   property is in a great location tucked away in a quiet estate, close to trains, shops, and major highways. A few minutes drive takes you to walks and parks in Forest Lake or to a few larger shopping centers nearby. ",,https://www.realestate.com.au/property-townhouse-qld-richlands-418982626,"<span class=""rate""></span>","Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden,  GAS cooking",[418982626],380,"Secure Parking,Garage Spaces:,2,Swimming Pool - Inground",Townhouse,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",77/31 Yerongpan Street,[2],Sharon Wendt,Raine & Horne - Onsite Sales
,[1],Fig Tree Pocket,Available Now,,Are you looking for a great place to stay in an...,$660,4069,$165 Per Week,Are you looking for a great place to stay in an excellent location? ,,https://www.realestate.com.au/property-house-qld-fig+tree+pocket-421907818,"<span class=""rate""></span>",,[421907818],165,,House,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",40 Robertson Street,[1],Innovation Rentals,Innovation Real Estate - Jamboree Heights
[2],[5],Fig Tree Pocket,Fri 19-Oct-18,"Alarm System,Floorboards,Air Conditioning",Entertainers Delight.  This property has it all.,"$5,200",4069,"$1,300 per week","No expense has been spared on this amazing home.  Consisting of 5 over-sized rooms, 4 bedrooms upstairs and the 5th bedroom downstairs in a self contained living space with it's own walk-in-wardrobe, bathroom, kitchenette and rumpus room.  Ideal as a teenagers retreat or private space for guests or in-laws. ",Pet Friendly,https://www.realestate.com.au/property-house-qld-fig+tree+pocket-421975826,"<span class=""rate""></span>","Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Fireplace(s)",[421975826],"1,300","Secure Parking,Garage Spaces:,2,Balcony,Swimming Pool - Inground",House,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",38 Vakuta Street,[3],"Satvir Nassar,Lauren Matbouly",Brisbane Real Estate - Indooroopilly
