,[45271]," 1,
                      ","Walk to Richlands Plaza and Woolworth in minutes, close to all the necessary amenities, dining, shopping, beauty&health and an easy stroll to Richlands Train Station,15min ride to Sunnybank Hills, 20 min to Garden City Westfield, 25 mins to South Bank Parklands,Complex very popular with renters, since ideal location and good rental,Body Corporate very good and supportive to work with,Very well run business, all procedures documented,Well presented complex and low caretaker workload,No requirement to reside onsite and no set office hours,Long agreement, still 23 years left on agreement,Good Remuneration $45,271 with annual adjustment of at least 3%,Spacious manager unit - three bedrooms, two bathrooms, one garage and attached on title office ,Simply, Neat and Tidy! Come and take a look we are sure you will be impressed!! "," 25 years,
                        ","Simple and Easy!
              "," 
                       "," None,
                        "," TBC ,
                        ",3,"David Jiang,David Jiang"," 0 ,
                        ",[105077],Last Update:," No,
                      ", 2,2," 4.9 ,
                        "," 0 ,
                        "," 0 ,
                        "," 
                       ",[375000]," 23 years,
                        ",[899000]," 0 years,
                        "," 
                  ,
                "," TBC ,
                        ", 3878514
,[52890]," 1,
                      ","This boutique complex of 31 apartments is within walking distance to the CBD and within the school catchment for Kelvin Grove State College or walking distance to Brisbane Grammar and Brisbane Girls Grammar. The complex is easily managed by one person part time, leaving plenty of time to relax and enjoy the many benefits of inner city living and an easy lifestyle. However, the agreement allows the manager to live off-site thus it is also an ideal opportunity for those wanting to pursue other business interests. The ground floor managers apartment offers an air conditioned open plan living/kitchen area with a delightful private garden courtyard well suited to entertaining.,The business is a well-run business with mostly all maintenance being carried out by service contractors. ,Located in Spring Hill only 5 minutes walking distance to City Hall, yet quiet and private. This complex is much sought after for accommodation by city workers. Each unit has a secure under cover car park which is highly desirable in the inner city.   The complex is an L shape with two street frontage and a central low maintenance tropical garden area where the recreation facilities are located, which includes the swimming pool, BBQ, outdoor dining and gymnasium.,With very manageable grounds and common areas, the managers body corporate duties are kept to a minimum. "," 25 years,
                        ","LIVE OFF-SITE WITH THE RIGHT ADDRESS Spring Hill Management Rights
              "," The ground floor managerâs apartment offers an air conditioned open plan living/ kitchen area with a delightful private garden courtyard well suited to entertaining. This attractively presented apartment is fully tiled and has been recently refurbished including an updated kitchen, fresh paintwork throughout and new window furnishings. The two bedrooms are at the rear of the apartment and both have double glass doors opening on to another spacious paved courtyard.
                       "," 0,
                        "," 22 ,
                        ",2,"Mark Fluhart,Mark Fluhart"," 3 ,
                        ",[108884],Last Update:," No,
                      ", 2,2," 4.4 ,
                        "," 0 ,
                        "," 4 ,
                        "," This boutique complex of 31 apartments is within walking distance to the CBD and within the school catchment for Kelvin Grove State College or walking distance to Brisbane Grammar and Brisbane Girls Grammar. The complex is easily managed by one person part time, leaving plenty of time to relax and enjoy the many benefits of inner city living and an easy lifestyle. However, the agreement allows the manager to live off-site thus it is also an ideal opportunity for those wanting to pursue other business interests.
                       ",[490000]," 20 years,
                        ",[970000]," 18 years,
                        "," 
                  ,
                "," 31 ,
                        ", 3859839
,[68727]," 1,
                      ",," 25 years,
                        ","CULTURAL HOTSPOT AND HIGH RENTAL DEMAND
              "," 
                       "," No set office hours,
                        "," 22 ,
                        ",3,"Celine Tseng,Celine Tseng"," 17 ,
                        ",[135000],Last Update:," Yes,
                      ", 2,2," 4.5 ,
                        "," 0 ,
                        "," 4 ,
                        "," Swimming Pool, Barbecue
                       ",[670000]," 21 years,
                        ",[1277500]," 14 years,
                        "," 
                  ,
                "," 43 ,
                        ", 3882897
,[118131]," 1,
                      ","Resort Brokers Australia is excited to offer to the market Park and River Reach. These two management rights complexes are located next door to each other with the ability to live on or off-site in the suburb of Bulimba. This is one of Brisbanes most desirable riverside locations. The growth in this area has increased significantly in the past ten years. This business suits first time and experienced operators.,• Absolutely amazing location in one Brisbane’s most desirable suburbs,• Great opportunity for further growth,• Experienced operators to assist with the transition of new purchaser,• Stunning manager’s residence,• No requirement to reside onsite,• A quality mix of one, two and three bedroom apartments,• Strong agreements/strong sinking fund amounts,• Additional outside rent roll of 12,• Simple and easy caretaking duties"," 25 years,
                        ","Blue Chip Bulimba Management Rights Netting 231K | Resort Brokers ID : MR005278
              "," Ground floor, spacious lounge room, large dinning space, modern kitchen, outside desk that is undercover, walk up street access with a locked gate, parkland views, own garden courtyard, built-in wardrobes, undercover carparks, secure lift access from basement area.
                       "," ,
                        "," 52 ,
                        ",3,"Brent Staker,Brent Staker"," 44 ,
                        ",[231000],Last Update:," yes,
                      ", 2,2," 5.2 ,
                        "," 0 ,
                        "," 11 ,
                        "," Two pools, two BBQs
                       ",[785000]," 20 years,
                        ",[1985000]," 0 years,
                        "," 
                  ,
                "," 95 ,
                        ", 3878757
agreement_age,property_id,outside_agents,pets,letting,last_update,total_unit,unit_price,title,price,agreement_term,look_ups,agency,manager_bathroom,multiplier,remuneration,agent,address,manager_bed,owner_occupy,description,income,agreement_remaining,office,complex_fetures,unit_feature,office_hour,manager_car
" 3 years,
                        ", 3882576," 19 ,
                        "," Yes,
                      "," 119 ,
                        ",Last Update:," 147 ,
                        ",[0],"Business Only - Established and Low Maintenance
              ",[2820000]," 25 years,
                        "," 0 ,
                        ",,0," 6.0 ,
                        ",[187903],"Paul Kiehne,Paul Kiehne"," 
                  ,
                ",0," 9 ,
                        ","RARE FIND !  Established Management Rights in a permanent let business, with no managers unit and high occupancy.,Located only metres from busy Gasworks shopping precinct in the sought after hub of Newstead  within easy walking distance to the river walkways, ferry and bus terminals. ,Purpose built to provide a point of difference to all other buildings in Newstead with large, well designed apartments without the added expense of  non-essential features such as pools, gyms or yoga lawns.  ,Tenants are attracted to the liveability of these boutique apartments with the sensible floor plans, gourmet kitchens and huge balconies. ,Management Rights features:,- Business-only with high nett returns ,- NO Managers Unit to purchase,- No set office hours ,- Secure  22 year agreement remaining ,- Majority investors and long term tenants with 99 percent Occupancy year round,- Gigafy Fibre optic internet infrastructure included,- Easy to manage facilities with only 1 rooftop BBQ area,- No pool, gym or lawns to maintain.,There is an OPTION to Lease or Purchase the  fully fitted 66 square metre Commercial Lot to use as an Office instead of the Managers allocated office ( (OA) if preferred.   Contact Paul for more details. ",[470000]," 22 years,
                        "," 0,
                      "," Business-only with high nett returns, 	NO Managers Unit to purchase, 	No set office hours , 	Secure  22 year agreement remaining,	Majority investors and long term tenants,	Gigafy Fibre optic internet infrastructure included,	Easy to manage facilities with only 1 rooftop BBQ area ,	No pool, gym or lawns to maintain.
                       "," 
                       "," 0,
                        ", 0
" 12 years,
                        ", 3883414," 2 ,
                        "," No,
                      "," 78 ,
                        ",Last Update:," 117 ,
                        ",[640000],"Big Income Permanent and Small Short Term Mix in Central South Brisbane
              ",[3428000]," 25 years,
                        "," 0 ,
                        ",,2," 5.8 ,
                        ",[172676],"David Jiang,David Jiang"," 
                  ,
                ",3," 37 ,
                        ","- Perfectly located in the prestigious heart of South Brisbane, offering inner city and South Bank charm,Walking distance to South Bank Park and CBD in minutes,High quality building, the apartments have all the resort-style facilities that the corporate customer could demand, including a swimming pool, gymnasium, heated spa, media room, coin operated laundry and vending machines,Close to all the necessary amenities, only a short walk to Conference&Exhibition Centre, Museum, Gallery as well as all vibrant and distinctive award-winning dining, shopping, beauty, health&wellbeing precinct and an easy stroll to South Bank Park,- Well established and Very well run complex, all procedures documented,- Complex very popular with Guests and tenants, since so close to all the public transport this makes it ideal for the inner-city lifestyle for tenants ,- Long agreement 24 years left on a 25 years accommodation module,- Fantastic Body Corporate salary of $172,676, with annual CPI adjustment,- Body Corporate very good and supportive to work with,- Modern and spacious manager residence comprises three bedrooms, two bathrooms, lounge/dining room, kitchen, laundry, patio, a large backyard and two carparks on title,- Large reception, circular drop off bay at entrance and a large counter office with back of house allow the manager to deliver the highest level of service when checking guests in and out,- Located within the Brisbane State High School and West End State School catchment area,Come on in and reap the rewards that this fantastic offering has to offer. This is the Goldilocks complex, offering a great lifestyle and solid business. Just Right! ",[480037]," 24 years,
                        "," 1,
                      "," - 20 metre lap pool- heated spa- BBQ facilities- media room- gymnasium
                       "," 
                       "," As per agreements,
                        ", 2
" 0 years,
                        ", 3878514," 0 ,
                        "," No,
                      "," TBC ,
                        ",Last Update:," TBC ,
                        ",[375000],"Simple and Easy!
              ",[899000]," 25 years,
                        "," 0 ,
                        ",,2," 4.9 ,
                        ",[45271],"David Jiang,David Jiang"," 
                  ,
                ",3," 0 ,
                        ","Walk to Richlands Plaza and Woolworth in minutes, close to all the necessary amenities, dining, shopping, beauty&health and an easy stroll to Richlands Train Station,15min ride to Sunnybank Hills, 20 min to Garden City Westfield, 25 mins to South Bank Parklands,Complex very popular with renters, since ideal location and good rental,Body Corporate very good and supportive to work with,Very well run business, all procedures documented,Well presented complex and low caretaker workload,No requirement to reside onsite and no set office hours,Long agreement, still 23 years left on agreement,Good Remuneration $45,271 with annual adjustment of at least 3%,Spacious manager unit - three bedrooms, two bathrooms, one garage and attached on title office ,Simply, Neat and Tidy! Come and take a look we are sure you will be impressed!! ",[105077]," 23 years,
                        "," 1,
                      "," 
                       "," 
                       "," None,
                        ", 2
" 9 years,
                        ", 3881971," 0 ,
                        "," No,
                      "," TBC ,
                        ",Last Update:," TBC ,
                        ",[650000],"Great Lifestyle Business
              ",Contact the Sire team," 25 years,
                        "," 0 ,
                        ",,2," 5.5 ,
                        ",[104046],"Richard Skiba and Jessica Dong,Richard Skiba and Jessica Dong"," 
                  ,
                ",4," 0 ,
                        ","Managers  Residence:,- Spacious 4 bed, 2.5 bath, DLUG- Spacious Office On Title,- Living in manager currently renting out 2 rooms for $15,000 per year,- Perfect for a family to live in,Features:,- Highly stable business with secured letting pool,- Rent has been steady increase for the last 3 years,- 21 Years agreement remaining,- Perfect size to get into the industry,- Very minimal caretaking duties, one day in winter per week, 2 days in summer per week,- Highly sought after by investors,- Prime location,- Close to hospitals,- Close to prime commercial hub location,- 1 min walking distance to bus stop to the city,- Lots of parking for visitors and the manager,- Can be run by one person less than 20 hours a  week,- One and the only in southern brisbane,- Easy going committee and body corporate,-Serious seller!Take advantage of this perfect opportunity, contact The SIRE Team for an inspection NOW! ",[243086]," 21 years,
                        "," 1,
                      "," 
                       "," - Spacious 4 bed, 2.5 bath, DLUGâ- Spacious Office On Title- Living in manager currently renting out 2 rooms for \\\\\\\\\\\$15,000 per year- Perfect for a family to live in
                       "," NO,
                        ", 0
" 14 years,
                        ", 3882897," 4 ,
                        "," Yes,
                      "," 22 ,
                        ",Last Update:," 43 ,
                        ",[670000],"CULTURAL HOTSPOT AND HIGH RENTAL DEMAND
              ",[1277500]," 25 years,
                        "," 0 ,
                        ",,2," 4.5 ,
                        ",[68727],"Celine Tseng,Celine Tseng"," 
                  ,
                ",3," 17 ,
                        ",,[135000]," 21 years,
                        "," 1,
                      "," Swimming Pool, Barbecue
                       "," 
                       "," No set office hours,
                        ", 2
" 2 years,
                        ", 3883221," 1 ,
                        "," Yes,
                      "," 42 ,
                        ",Last Update:," 44 ,
                        ",[0],"Business Only Mangement Rights in Prime Location
              ",[710000]," 25 years,
                        "," 0 ,
                        ",,0," 0.0 ,
                        ",[49600],"Joanne Piercy,Joanne Piercy"," 
                  ,
                ",0," 1 ,
                        ","Just listed.,This extremely appealing complex that ticks all of the wish list boxes for a purchaser.,No Office hours.,No requirement to live on site.,Long term agreements.,Great tenant appeal due to the location and unit inclusions.,Easy to maintain grounds.,Well run business allowing for a smooth transition period at purchase.,Good committee relationship.,Maintenance done by a handyman.,P & L verified by an industry accountant.,Excellent standalone or add on business. ",[131612]," 23 years,
                        "," 0,
                      "," Remote access to car park area.Intercom system. NBN ready. Storage areas for the managers use.
                       "," No unit to buy and no requirement to live onsite.
                       "," None,
                        ", 0
" 0 years,
                        ", 3878757," 11 ,
                        "," yes,
                      "," 52 ,
                        ",Last Update:," 95 ,
                        ",[785000],"Blue Chip Bulimba Management Rights Netting 231K | Resort Brokers ID : MR005278
              ",[1985000]," 25 years,
                        "," 0 ,
                        ",,2," 5.2 ,
                        ",[118131],"Brent Staker,Brent Staker"," 
                  ,
                ",3," 44 ,
                        ","Resort Brokers Australia is excited to offer to the market Park and River Reach. These two management rights complexes are located next door to each other with the ability to live on or off-site in the suburb of Bulimba. This is one of Brisbanes most desirable riverside locations. The growth in this area has increased significantly in the past ten years. This business suits first time and experienced operators.,• Absolutely amazing location in one Brisbane’s most desirable suburbs,• Great opportunity for further growth,• Experienced operators to assist with the transition of new purchaser,• Stunning manager’s residence,• No requirement to reside onsite,• A quality mix of one, two and three bedroom apartments,• Strong agreements/strong sinking fund amounts,• Additional outside rent roll of 12,• Simple and easy caretaking duties",[231000]," 20 years,
                        "," 1,
                      "," Two pools, two BBQs
                       "," Ground floor, spacious lounge room, large dinning space, modern kitchen, outside desk that is undercover, walk up street access with a locked gate, parkland views, own garden courtyard, built-in wardrobes, undercover carparks, secure lift access from basement area.
                       "," ,
                        ", 2
" 18 years,
                        ", 3859839," 4 ,
                        "," No,
                      "," 22 ,
                        ",Last Update:," 31 ,
                        ",[490000],"LIVE OFF-SITE WITH THE RIGHT ADDRESS Spring Hill Management Rights
              ",[970000]," 25 years,
                        "," 0 ,
                        ",,2," 4.4 ,
                        ",[52890],"Mark Fluhart,Mark Fluhart"," 
                  ,
                ",2," 3 ,
                        ","This boutique complex of 31 apartments is within walking distance to the CBD and within the school catchment for Kelvin Grove State College or walking distance to Brisbane Grammar and Brisbane Girls Grammar. The complex is easily managed by one person part time, leaving plenty of time to relax and enjoy the many benefits of inner city living and an easy lifestyle. However, the agreement allows the manager to live off-site thus it is also an ideal opportunity for those wanting to pursue other business interests. The ground floor managers apartment offers an air conditioned open plan living/kitchen area with a delightful private garden courtyard well suited to entertaining.,The business is a well-run business with mostly all maintenance being carried out by service contractors. ,Located in Spring Hill only 5 minutes walking distance to City Hall, yet quiet and private. This complex is much sought after for accommodation by city workers. Each unit has a secure under cover car park which is highly desirable in the inner city.   The complex is an L shape with two street frontage and a central low maintenance tropical garden area where the recreation facilities are located, which includes the swimming pool, BBQ, outdoor dining and gymnasium.,With very manageable grounds and common areas, the managers body corporate duties are kept to a minimum. ",[108884]," 20 years,
                        "," 1,
                      "," This boutique complex of 31 apartments is within walking distance to the CBD and within the school catchment for Kelvin Grove State College or walking distance to Brisbane Grammar and Brisbane Girls Grammar. The complex is easily managed by one person part time, leaving plenty of time to relax and enjoy the many benefits of inner city living and an easy lifestyle. However, the agreement allows the manager to live off-site thus it is also an ideal opportunity for those wanting to pursue other business interests.
                       "," The ground floor managerâs apartment offers an air conditioned open plan living/ kitchen area with a delightful private garden courtyard well suited to entertaining. This attractively presented apartment is fully tiled and has been recently refurbished including an updated kitchen, fresh paintwork throughout and new window furnishings. The two bedrooms are at the rear of the apartment and both have double glass doors opening on to another spacious paved courtyard.
                       "," 0,
                        ", 2
look_ups,manager_bed,office,agreement_term,agreement_remaining,price,multiplier,address,unit_price,agreement_age,income,last_update,property_id,total_unit,description,agency,letting,outside_agents,owner_occupy,manager_bathroom,office_hour,remuneration,agent,manager_car,complex_fetures,title,pets,unit_feature
" 0 ,
                        ",0," 0,
                      "," 25 years,
                        "," 22 years,
                        ",[2820000]," 6.0 ,
                        "," 
                  ,
                ",[0]," 3 years,
                        ",[470000],Last Update:, 3882576," 147 ,
                        ","RARE FIND !  Established Management Rights in a permanent let business, with no managers unit and high occupancy.,Located only metres from busy Gasworks shopping precinct in the sought after hub of Newstead  within easy walking distance to the river walkways, ferry and bus terminals. ,Purpose built to provide a point of difference to all other buildings in Newstead with large, well designed apartments without the added expense of  non-essential features such as pools, gyms or yoga lawns.  ,Tenants are attracted to the liveability of these boutique apartments with the sensible floor plans, gourmet kitchens and huge balconies. ,Management Rights features:,- Business-only with high nett returns ,- NO Managers Unit to purchase,- No set office hours ,- Secure  22 year agreement remaining ,- Majority investors and long term tenants with 99 percent Occupancy year round,- Gigafy Fibre optic internet infrastructure included,- Easy to manage facilities with only 1 rooftop BBQ area,- No pool, gym or lawns to maintain.,There is an OPTION to Lease or Purchase the  fully fitted 66 square metre Commercial Lot to use as an Office instead of the Managers allocated office ( (OA) if preferred.   Contact Paul for more details. ",," 119 ,
                        "," 19 ,
                        "," 9 ,
                        ",0," 0,
                        ",[187903],"Paul Kiehne,Paul Kiehne", 0," Business-only with high nett returns, 	NO Managers Unit to purchase, 	No set office hours , 	Secure  22 year agreement remaining,	Majority investors and long term tenants,	Gigafy Fibre optic internet infrastructure included,	Easy to manage facilities with only 1 rooftop BBQ area ,	No pool, gym or lawns to maintain.
                       ","Business Only - Established and Low Maintenance
              "," Yes,
                      "," 
                       "
" 0 ,
                        ",2," 1,
                      "," 25 years,
                        "," 20 years,
                        ",[970000]," 4.4 ,
                        "," 
                  ,
                ",[490000]," 18 years,
                        ",[108884],Last Update:, 3859839," 31 ,
                        ","This boutique complex of 31 apartments is within walking distance to the CBD and within the school catchment for Kelvin Grove State College or walking distance to Brisbane Grammar and Brisbane Girls Grammar. The complex is easily managed by one person part time, leaving plenty of time to relax and enjoy the many benefits of inner city living and an easy lifestyle. However, the agreement allows the manager to live off-site thus it is also an ideal opportunity for those wanting to pursue other business interests. The ground floor managers apartment offers an air conditioned open plan living/kitchen area with a delightful private garden courtyard well suited to entertaining.,The business is a well-run business with mostly all maintenance being carried out by service contractors. ,Located in Spring Hill only 5 minutes walking distance to City Hall, yet quiet and private. This complex is much sought after for accommodation by city workers. Each unit has a secure under cover car park which is highly desirable in the inner city.   The complex is an L shape with two street frontage and a central low maintenance tropical garden area where the recreation facilities are located, which includes the swimming pool, BBQ, outdoor dining and gymnasium.,With very manageable grounds and common areas, the managers body corporate duties are kept to a minimum. ","%2Fusers%2Flogo_756146%2F1.jpg Click here to view full profile for: Raine & Horne Onsite Rights,%2Fusers%2Flogo_756146%2F1.jpg Click here to view full profile for: Raine & Horne Onsite Rights"," 22 ,
                        "," 4 ,
                        "," 3 ,
                        ",2," 0,
                        ",[52890],"Mark Fluhart,Mark Fluhart", 2," This boutique complex of 31 apartments is within walking distance to the CBD and within the school catchment for Kelvin Grove State College or walking distance to Brisbane Grammar and Brisbane Girls Grammar. The complex is easily managed by one person part time, leaving plenty of time to relax and enjoy the many benefits of inner city living and an easy lifestyle. However, the agreement allows the manager to live off-site thus it is also an ideal opportunity for those wanting to pursue other business interests.
                       ","LIVE OFF-SITE WITH THE RIGHT ADDRESS Spring Hill Management Rights
              "," No,
                      "," The ground floor managerâs apartment offers an air conditioned open plan living/ kitchen area with a delightful private garden courtyard well suited to entertaining. This attractively presented apartment is fully tiled and has been recently refurbished including an updated kitchen, fresh paintwork throughout and new window furnishings. The two bedrooms are at the rear of the apartment and both have double glass doors opening on to another spacious paved courtyard.
                       "
" 0 ,
                        ",3," 1,
                      "," 25 years,
                        "," 20 years,
                        ",[1985000]," 5.2 ,
                        "," 
                  ,
                ",[785000]," 0 years,
                        ",[231000],Last Update:, 3878757," 95 ,
                        ","Resort Brokers Australia is excited to offer to the market Park and River Reach. These two management rights complexes are located next door to each other with the ability to live on or off-site in the suburb of Bulimba. This is one of Brisbanes most desirable riverside locations. The growth in this area has increased significantly in the past ten years. This business suits first time and experienced operators.,• Absolutely amazing location in one Brisbane’s most desirable suburbs,• Great opportunity for further growth,• Experienced operators to assist with the transition of new purchaser,• Stunning manager’s residence,• No requirement to reside onsite,• A quality mix of one, two and three bedroom apartments,• Strong agreements/strong sinking fund amounts,• Additional outside rent roll of 12,• Simple and easy caretaking duties","%2Fusers%2Flogo_754806%2F1.jpg Click here to view full profile for: Resort Brokers,%2Fusers%2Flogo_754806%2F1.jpg Click here to view full profile for: Resort Brokers"," 52 ,
                        "," 11 ,
                        "," 44 ,
                        ",2," ,
                        ",[118131],"Brent Staker,Brent Staker", 2," Two pools, two BBQs
                       ","Blue Chip Bulimba Management Rights Netting 231K | Resort Brokers ID : MR005278
              "," yes,
                      "," Ground floor, spacious lounge room, large dinning space, modern kitchen, outside desk that is undercover, walk up street access with a locked gate, parkland views, own garden courtyard, built-in wardrobes, undercover carparks, secure lift access from basement area.
                       "
" 0 ,
                        ",4," 1,
                      "," 25 years,
                        "," 21 years,
                        ",Contact the Sire team," 5.5 ,
                        "," 
                  ,
                ",[650000]," 9 years,
                        ",[243086],Last Update:, 3881971," TBC ,
                        ","Managers  Residence:,- Spacious 4 bed, 2.5 bath, DLUG- Spacious Office On Title,- Living in manager currently renting out 2 rooms for $15,000 per year,- Perfect for a family to live in,Features:,- Highly stable business with secured letting pool,- Rent has been steady increase for the last 3 years,- 21 Years agreement remaining,- Perfect size to get into the industry,- Very minimal caretaking duties, one day in winter per week, 2 days in summer per week,- Highly sought after by investors,- Prime location,- Close to hospitals,- Close to prime commercial hub location,- 1 min walking distance to bus stop to the city,- Lots of parking for visitors and the manager,- Can be run by one person less than 20 hours a  week,- One and the only in southern brisbane,- Easy going committee and body corporate,-Serious seller!Take advantage of this perfect opportunity, contact The SIRE Team for an inspection NOW! ","%2Fusers%2Flogo_756028%2F1.jpg Click here to view full profile for: SIRE Management Rights,%2Fusers%2Flogo_756028%2F1.jpg Click here to view full profile for: SIRE Management Rights"," TBC ,
                        "," 0 ,
                        "," 0 ,
                        ",2," NO,
                        ",[104046],"Richard Skiba and Jessica Dong,Richard Skiba and Jessica Dong", 0," 
                       ","Great Lifestyle Business
              "," No,
                      "," - Spacious 4 bed, 2.5 bath, DLUGâ- Spacious Office On Title- Living in manager currently renting out 2 rooms for \\\\\\\\\\\$15,000 per year- Perfect for a family to live in
                       "
" 0 ,
                        ",3," 1,
                      "," 25 years,
                        "," 24 years,
                        ",[3428000]," 5.8 ,
                        "," 
                  ,
                ",[640000]," 12 years,
                        ",[480037],Last Update:, 3883414," 117 ,
                        ","- Perfectly located in the prestigious heart of South Brisbane, offering inner city and South Bank charm,Walking distance to South Bank Park and CBD in minutes,High quality building, the apartments have all the resort-style facilities that the corporate customer could demand, including a swimming pool, gymnasium, heated spa, media room, coin operated laundry and vending machines,Close to all the necessary amenities, only a short walk to Conference&Exhibition Centre, Museum, Gallery as well as all vibrant and distinctive award-winning dining, shopping, beauty, health&wellbeing precinct and an easy stroll to South Bank Park,- Well established and Very well run complex, all procedures documented,- Complex very popular with Guests and tenants, since so close to all the public transport this makes it ideal for the inner-city lifestyle for tenants ,- Long agreement 24 years left on a 25 years accommodation module,- Fantastic Body Corporate salary of $172,676, with annual CPI adjustment,- Body Corporate very good and supportive to work with,- Modern and spacious manager residence comprises three bedrooms, two bathrooms, lounge/dining room, kitchen, laundry, patio, a large backyard and two carparks on title,- Large reception, circular drop off bay at entrance and a large counter office with back of house allow the manager to deliver the highest level of service when checking guests in and out,- Located within the Brisbane State High School and West End State School catchment area,Come on in and reap the rewards that this fantastic offering has to offer. This is the Goldilocks complex, offering a great lifestyle and solid business. Just Right! ","%2Fusers%2Flogo_7566474%2F1.jpg Click here to view full profile for: Next International Realty Pty Ltd,%2Fusers%2Flogo_7566474%2F1.jpg Click here to view full profile for: Next International Realty Pty Ltd"," 78 ,
                        "," 2 ,
                        "," 37 ,
                        ",2," As per agreements,
                        ",[172676],"David Jiang,David Jiang", 2," - 20 metre lap pool- heated spa- BBQ facilities- media room- gymnasium
                       ","Big Income Permanent and Small Short Term Mix in Central South Brisbane
              "," No,
                      "," 
                       "
" 0 ,
                        ",0," 0,
                      "," 25 years,
                        "," 23 years,
                        ",[710000]," 0.0 ,
                        "," 
                  ,
                ",[0]," 2 years,
                        ",[131612],Last Update:, 3883221," 44 ,
                        ","Just listed.,This extremely appealing complex that ticks all of the wish list boxes for a purchaser.,No Office hours.,No requirement to live on site.,Long term agreements.,Great tenant appeal due to the location and unit inclusions.,Easy to maintain grounds.,Well run business allowing for a smooth transition period at purchase.,Good committee relationship.,Maintenance done by a handyman.,P & L verified by an industry accountant.,Excellent standalone or add on business. ","%2Fusers%2Flogo_756146%2F1.jpg Click here to view full profile for: Raine & Horne Onsite Rights,%2Fusers%2Flogo_756146%2F1.jpg Click here to view full profile for: Raine & Horne Onsite Rights"," 42 ,
                        "," 1 ,
                        "," 1 ,
                        ",0," None,
                        ",[49600],"Joanne Piercy,Joanne Piercy", 0," Remote access to car park area.Intercom system. NBN ready. Storage areas for the managers use.
                       ","Business Only Mangement Rights in Prime Location
              "," Yes,
                      "," No unit to buy and no requirement to live onsite.
                       "
" 0 ,
                        ",3," 1,
                      "," 25 years,
                        "," 21 years,
                        ",[1277500]," 4.5 ,
                        "," 
                  ,
                ",[670000]," 14 years,
                        ",[135000],Last Update:, 3882897," 43 ,
                        ",,"%2Fusers%2Flogo_755746%2F1.jpg Click here to view full profile for: Shine Realty,%2Fusers%2Flogo_755746%2F1.jpg Click here to view full profile for: Shine Realty"," 22 ,
                        "," 4 ,
                        "," 17 ,
                        ",2," No set office hours,
                        ",[68727],"Celine Tseng,Celine Tseng", 2," Swimming Pool, Barbecue
                       ","CULTURAL HOTSPOT AND HIGH RENTAL DEMAND
              "," Yes,
                      "," 
                       "
" 0 ,
                        ",3," 1,
                      "," 25 years,
                        "," 23 years,
                        ",[899000]," 4.9 ,
                        "," 
                  ,
                ",[375000]," 0 years,
                        ",[105077],Last Update:, 3878514," TBC ,
                        ","Walk to Richlands Plaza and Woolworth in minutes, close to all the necessary amenities, dining, shopping, beauty&health and an easy stroll to Richlands Train Station,15min ride to Sunnybank Hills, 20 min to Garden City Westfield, 25 mins to South Bank Parklands,Complex very popular with renters, since ideal location and good rental,Body Corporate very good and supportive to work with,Very well run business, all procedures documented,Well presented complex and low caretaker workload,No requirement to reside onsite and no set office hours,Long agreement, still 23 years left on agreement,Good Remuneration $45,271 with annual adjustment of at least 3%,Spacious manager unit - three bedrooms, two bathrooms, one garage and attached on title office ,Simply, Neat and Tidy! Come and take a look we are sure you will be impressed!! ","%2Fusers%2Flogo_7566474%2F1.jpg Click here to view full profile for: Next International Realty Pty Ltd,%2Fusers%2Flogo_7566474%2F1.jpg Click here to view full profile for: Next International Realty Pty Ltd"," TBC ,
                        "," 0 ,
                        "," 0 ,
                        ",2," None,
                        ",[45271],"David Jiang,David Jiang", 2," 
                       ","Simple and Easy!
              "," No,
                      "," 
                       "
outside_agents,agency,manager_bed,pets,unit_price,multiplier,complex_fetures,last_update,price,office_hour,income,agreement_term,look_ups,manager_car,agreement_age,office,unit_feature,agent,title,address,manager_bathroom,owner_occupy,letting,total_unit,remuneration,agreement_remaining,property_id,description
" 19 ,
                        ",,0," Yes,
                      ",[0]," 6.0 ,
                        "," Business-only with high nett returns, 	NO Managers Unit to purchase, 	No set office hours , 	Secure  22 year agreement remaining,	Majority investors and long term tenants,	Gigafy Fibre optic internet infrastructure included,	Easy to manage facilities with only 1 rooftop BBQ area ,	No pool, gym or lawns to maintain.
                       ",Last Update:,[2820000]," 0,
                        ",[470000]," 25 years,
                        "," 0 ,
                        ", 0," 3 years,
                        "," 0,
                      "," 
                       ","Paul Kiehne,Paul Kiehne","Business Only - Established and Low Maintenance
              "," 
                  ,
                ",0," 9 ,
                        "," 119 ,
                        "," 147 ,
                        ",[187903]," 22 years,
                        ", 3882576,"RARE FIND !  Established Management Rights in a permanent let business, with no managers unit and high occupancy.,Located only metres from busy Gasworks shopping precinct in the sought after hub of Newstead  within easy walking distance to the river walkways, ferry and bus terminals. ,Purpose built to provide a point of difference to all other buildings in Newstead with large, well designed apartments without the added expense of  non-essential features such as pools, gyms or yoga lawns.  ,Tenants are attracted to the liveability of these boutique apartments with the sensible floor plans, gourmet kitchens and huge balconies. ,Management Rights features:,- Business-only with high nett returns ,- NO Managers Unit to purchase,- No set office hours ,- Secure  22 year agreement remaining ,- Majority investors and long term tenants with 99 percent Occupancy year round,- Gigafy Fibre optic internet infrastructure included,- Easy to manage facilities with only 1 rooftop BBQ area,- No pool, gym or lawns to maintain.,There is an OPTION to Lease or Purchase the  fully fitted 66 square metre Commercial Lot to use as an Office instead of the Managers allocated office ( (OA) if preferred.   Contact Paul for more details. "
